inputname;organisasjonsnummer;korreksjon
10080 LILLEBY;;
10081 GARTNERIHAGEN;;
4210 GJØVIK;;
920846 JAN PETTER ABRAHAMSEN;;
99X;;
A JENSERUD & SØNN AS;865626002;
A-PERSONELL AS;916081537;
AAS STILLASSERVICE AS;986312102;
ABICON ELEKTRO AS;976052560;
ABS PARKETTGRUPPEN;;
ACUSTO AS;960637402;
ADECCO;;
ADECCO SOLUTION AS;;
ADEPT COLLECTION;;
ÅF ADVANCIA AS;;
ÅF ENGINEERING;;
AF GRUPPEN;;
ÅF REINERTSEN;;
AGLEDAL MASKIN AS;972691968;
AHLSELL;;
AKASO;;
AKERSHUS ENERGI AS;974706296;
AKERSHUS UTLEIE AS;;
ÅKRENE MEK VERKSTED AS;933309827;
AKTIV;891506562;
AKTIV MONTASJE DRIFT AS;986007393;
AKTIV STILLAS;;
AKUSTIKK INNREDNING AS;;
AL BLIKK OG VENTILASJON AS;912599531;
ALLE;;
ALPHA MASKIN;;
ALT INSTALLASJON;;
ALTI BYGG OG ANLEGG AS;;
ALUHAK;;
ALUPOINT AS;912374637;
ALUSTAR AS;970968997;
AMUNDRUD VVS;;
ANDERSEN OG FREMMING AS;;
ANLEGGSGARTNER ARNESEN;;
ANLEGGSGARTNER SIGURD JOHANNESSEN AS;916160917;
ANLEGGSMASKINER AS;914330858;
AQWA;;
AR ELEKTRO;;
ARCASA ARKITEKTER AS;940199972;
ARCHUNO;;
ARCONSULT OVE BØE AS;940758629;
ARCRYLICON;;
AREALBYGG;;
ARGON ENTREPENØR AS;;
ARKEL ASKER & BÆRUM;;
ARKIPARTNER;;
ARKITEKT/BYGGHERRE;;
ARKITEKTKONTORET VEST AS;948232464;
ARMEC AS;981255178;
ARNE HERNES AS;971179988;
ARNE HIMLING AS;897832402;
ARTEA;;
ARVE@THERMAXRLNO;;
AS BACKE;932555689;
AS BETONGPUMPING;920853366;
AS DIAMANTBORING;927811685;
AS GIPSPLATEMONTASJE;;
AS RUBICON;971112298;
ASAS ARKITEKTUR;;
ASK & EEG;;
ASKER KOMMUNE;920125298;
ASKIM ENTREPRENØR;;
ASØRGÅRD AS;;
ASSA ABLOY ENTRANCE SYSTEMS AS;;
ASSEMBLIN;;
ATEC BEMANNING AS;995172569;
ATEC VOSS;;
ATG;;
AUDEN SENDERUD GRAVEMASKINDRIFT AS;971764791;
AURSKOG ELEKTRISKE AS;;
AVAVI;;
AVVIKCOM;;
BACKE BERGEN AS;973202545;
BACKE BYGG INTERNT;;
BACKE ENTREPRENØR AS;895448672;
BACKE FORNY AS;887471762;
BACKE NORDVEST AS;948644789;
BACKE OPPLAND AS;938034087;
BACKE ØSTFOLD AS;980369897;
BACKE PROSJEKT AS;994171658;
BACKE ROGALAND AS;892375992;
BACKE ROMERIKE AS;835751252;
BACKE SERVICE AS;;
BACKE STOR-OSLO;;
BACKE STOR-OSLO AS;910380044;
BACKE TRONDHEIM;;
BACKE TRONDHEIM AS;952228609;
BACKE VESTFOLD TELEMARK;;
BACKE VESTFOLD TELEMARK AS;914821606;
BÆRUM BYGGMONTERING AS;969051516;
BÆRUM KOMMUNE, EIENDOM BYGGHERRE;;
BAS ARKITEKTER AS;983196608;
BAS AVD KLEPP JANNESVILAND@BASUTLEIENO;;
BAS MASKINUTLEIE AS;991938249;
BAS MASKINUTLEIE GJØVIK;;
BBK MONTERING AS;918785388;
BERGBORING AS;;
BERGEN MONTERING;;
BERGLUND STÅL OG BLIKK AS;980236196;
BETONG OG ANLEGG;;
BETONG OG TRE AS;;
BETONG ØST;;
BETONGMANN;;
BETONMAST ROMERIKE AS;993925314;
BINDERHOLZ;;
BJELLAND AS;976752422;
BJERKE MONTASJE AS;817639542;
BJERKE VENTILASJON AS;986887768;
BJERKES VINDUER OG DØRER AS;;
BJØRKLUND OG LØVLIEN AS;;
BJØRN HANSEN AS;;
BJØRN OG ØYVIND TVETER AS;;
BJØRNSTAD PROSJEKTERING AS;871834202;
BJØRVIK & HAUGEN AS;976288971;
BJØRVIK MALERSERVICE AS;935989906;
BL ENTREPRENØR AS;991444106;
BLOCK BERGE;;
BMØ;;
BN BYGG;;
BO ANDREN AS;;
BOHLIN AS;918338527;
BOMEKAN AS;984291957;
BORG ARMERING;;
BORG BYGG AS;895628352;
BØRGE RØR;;
BORGE RØR AS;881130432;
BORREGAARD;;
BØTTGER AS;988299847;
BR LIE;;
BR MELBY AS;;
BRANDSBERG-DAHLS ARKITEKTER;;
BRANN & SIKKERHETSFORUM AS;;
BRANN&SIKKERHETSFORUM;;
BRAVIDA AVD HALVORSEN OG SØNN AS;;
BRAVIDA LILLESTRØM RØR AS;;
BRAVIDA NORGE AS;987582561;
BRELCO;;
BRIGHT RÅDGIVENDE INGENIØRER;;
BRING EXPRESS;;
BRING EXPRESS TRONDHEIM;;
BRØDRENE BASTIANSEN;;
BRØDRENE DAHL AS;;
BRØDRENE GUDBRANSEN;;
BRØDRENE KOLSTAD BETONGTRANSPORT AS;;
BRØDRENE MIDTHAUG AS;987604018;
BRØDRENE MIDTHAUG AS, AVDTRØNDERLAG;;
BRØDRENE MYHRE AS;945679751;
BRYN BYGGKLIMA AS;984005288;
BRYNE RØR AS;886293372;
BSH HUSHOLDNINGSAPPARATER AS;942381115;
BTA ELEKTRO AS;;
BUSKERUD BLIKK;;
BVR AS;991742670;
BVS BRANNVERNSYSTEMER AS;985172722;
BYEMARK STÅL AS;916549865;
BYGG & BRANNSIKKERHET AS;915457363;
BYGG & MAL AS;994841432;
BYGG OG MAL AS;;
BYGG- OG BRANNSIKRING ØSTLANDET AS;;
BYGGERÅD AS;991324801;
BYGGHERRE;;
BYGGIMPULS AS;987975105;
BYGGMAKKER SKATTUM;;
BYGGMONTASJE ØST AS;986215069;
BYGGPARTNER AS;965632077;
C M MATHIESEN;;
CANON;;
CARL C FON;;
CARL GUSTAV SOLUTION AS;;
CARLSEN & FRITZØE AS;;
CARRIER REFRIGERATION NORWAY AS;981495977;
CAVERION AS;;
CELSA STEEL SERVICE AS;980345106;
CELSA STEELSERVICE;;
CERTEGO AS;977023637;
CERWONOL AS;;
CHILI;;
CHRISTIANIA STILLAS AS;984631367;
CON FORM;931419323;
CON-FORM OSLO AS;;
CON-FORM TRØNDELAG AS;;
CONTIGA AS;971507837;
CRAMO AS;948334534;
DAG-PROSJEKT AS;;
DALOC;;
DEVO AS;915662323;
DEVO AS ESPEN JOHANSEN;;
DIGIPLEX;;
DIMENSJON;;
DIV UE;;
DOBLOUG ENTREPRENØR AS;972212741;
DOKKA ENTREPRENØR;;
DORMAKABA NORGE AS;929633504;
DR TECHN OLAV OLSEN AS;981124626;
DRAMMEN VENTILASJON;;
DRIV PROSJEKTSTYRING;;
DRØMME KJØKKEN;;
DUPLO ELEMENT AS;982612322;
DUSCHOLUX NORGE AS;916578407;
EASYDOOR;;
EB CONSULTING;;
ED KNUTSEN AS;;
EDVARDSEN ELEKTRO AS;911655705;
EDVIND HANSEN AS;973215191;
EFC NORGE;997488938;
EFC NORGE AS;997488938;
EGAS SPORT;;
EIDSIVA;;
EIDSVOLL KOMMUNE;964950113;
EINAR ERIKSEN;957950728;
EL-EFFEKT AS;;
EL-INSTALLASJON LILLEHAMMER;;
ELEKTRO-KONTAKTEN AS;923685464;
ELEKTRO1-TØNSBERG AS;;
ELEKTROFORUM AS;975363112;
ELEMENTSALG AS;916635192;
ELTEAM AS;972232769;
ELVERHØY;;
ELVERUM BLIKKENSLAGERVERKSTED AS;971870966;
ELVERUM KOMMUNE;952857991;
ELVERUM TAKSERVICE;;
EMV CONSTRUCTION;;
ENERGI & MILJØ AS;989829351;
ENERGIANLEGG;;
ENERGIMA AS;985896925;
ENTREPRENØR BYGG AS;989186140;
ENWA ABC TECH AS;;
ENWA BADEANLEGG AS;946973831;
ERICHSEN & HORGEN A/S;;
ERMA TAK & FASADE;;
ESPEN@DEVOAS;;
ETAC AS;876597152;
EUROBLIKK & TAK AS;;
EVR NORGE;;
EXIGO VVS;;
EXTEMPLO AS;;
FAG TAK AS;;
FAGPROSJEKT AS;916114001;
FAS;;
FASADE CONSULT;;
FETSUND ELEKTRO AS;959507481;
FIERSAFE;;
FIRESAFE AS;958249799;
FJELDHEIM OG KNUDSEN;;
FJELDSETH;;
FJERBY AS;830717552;
FLATAKER VVS AS;963443811;
FLERE;;
FLEX BYGG AS;886107552;
FLOW MEISINGSETH AS;;
FLOW-VVS;;
FOLLO TAK OG VEDLIKEHOLD AS;879915422;
FON ANLEGG;;
FORAFORM;;
FORSVARSBYGG;975950662;
FOSBY STILLAS;;
FOSEN VENTILASJON AS;912564142;
FOSSBY;;
FRANZEFOSS;;
FRECH AS;;
FREDENSBORG;;
FRON BETONG AS;972072540;
FUGLESANGDAHL AS;991836330;
FUGLESANGDALHL;;
FURULUND MASKIN AS;918272402;
GAST ENTREPRENØR AS;987627484;
GAUKSÅS GULVSTØP;;
GBS PRODUKTER AS;982328756;
GENERAL ELECTRIC;;
GEOMATIKK AS;987831553;
GEOMATIKK SURVEY;;
GEOPLAN;;
GILJE TRE AS;951875392;
GISLEBYE AS;;
GISLEBYE BYGG AS;876062992;
GJERMUNDSHAUG ANLEGG AS;895711942;
GJØVIK BETONGSERVICE AS;995122278;
GK ELEKTRO AS;979193777;
GK INNEKLIMA AS;952391992;
GK KULDE;;
GK NORGE AS;915892981;
GK RØR AS;997003284;
GK RØR AS AVD ROMERIKE;912805786;
GLASSTEAM AS;;
GRÅKALLEN BYGG OG UTLEIE AS;915338801;
GRAN VVS AS;871993602;
GRANDE INTERIØR AS;999108954;
GS MASKIN;918912320;
GULBRANSEN & OLIMB AS;;
GULVENTREPRENØREN AS;992103930;
GUNNAR HØVIK AS;967454818;
GUNNAR JENSEN AS;921957599;
H PRODUKTER AS;;
H-FASADER AS;852072202;
HA-MEK;;
HAALAND KLIMA AS;986897526;
HABI AS;967866210;
HADELAND STÅL OG GIPSMONTASJE;;
HADELAND STÅL OG GIPSMONTASJE AS;990102600;
HÆHRE GULVSTØP AS;986420045;
HÆRE GULVSTØP AS;;
HAGA OG BERG ENTREPENØR AS;;
HÅKANES MASKIN;936727425;
HAKON@ROGNSTADNO;;
HAMMERSTAD MASKIN AS;980404730;
HANNEVOLD RIV OG RENSK AS;;
HANSEN SVEIS OG MONTERING;;
HARALD KROGSÆTER AS;913612167;
HAUG OG BLOM-BAKKE AS;;
HEDMARK ELEMENTMONTASJE;;
HEDMARK FYLKESKOMMUNE;;
HEGNA TRANSPORT;;
HEISPLAN AS;992431113;
HELLEVIK VVS;;
HERMES MARINE SERVICE;;
HERREGÅRDSMUR AS;994251856;
HESSELBERG TAK;;
HGV SYSTEMER AS;912064913;
HILTULA AS;977165636;
HNH ISOLERING AS;899151542;
HOEL ELEKTRO AS;930884820;
HOFF SNEKKERVERKSTED AS;976324455;
HORNEBERG BYGG AS;987668059;
HØYER FINSETH AS;;
HØYLAND OG TVEIT;;
HRTB ARKITEKTER AS;;
HSG;;
HSS TRANSPORT;;
HTH KJØKKENFORUM AS INNLANDET;;
HUBRO;990735328;
HULLEBERG & BØ AS;;
HUMLEKJÆR&ØDEGAARD A/S;;
HUNVIK;;
HURUM RØR AS;886606672;
HUVID;;
IA MONTASJE;;
ICOPAL;996675211;
ICOPAL TAK AS;;
IDEMA AS;937757875;
IKEA;914787521;
IKKE ANGITT;;
IMPLENIA MILJØ AS;;
IMPLENIA NORGE AS;980332977;
INDUSTRI GULV AS;;
INDUSTRIGULV;914766745;
ING IVAR PETTERSEN;;
